,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Monrovia,LR,75.78,light rain,6.3005,-10.7969,Sunset Inn
540,Teahupoo,PF,74.53,light rain,-17.8333,-149.2667,Vanira Lodge
546,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
549,Santa Marta,CO,80.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
556,Alibag,IN,82.47,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
557,Brazzaville,CG,74.21,broken clouds,-4.2658,15.2832,Hotel Muesse
560,Acapulco,MX,79.2,moderate rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
564,Pucallpa,PE,72.52,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
566,Anloga,GH,78.39,light rain,5.7947,0.8973,Pin Drop Hotel
568,Bowen,AU,80.24,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
571,Umm Lajj,SA,83.34,few clouds,25.0213,37.2685,Moon light Furnished Units
574,Dawei,MM,88.05,broken clouds,14.0833,98.2,Hotel Dawei
575,Abu Kamal,SY,79.12,few clouds,34.4506,40.9171,البوكمال
576,Bireun,ID,85.19,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
577,Bubaque,GW,80.4,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
580,Birao,CF,73.38,broken clouds,10.2849,22.7882,
584,Bac Lieu,VN,84.56,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
585,Funadhoo,MV,81.09,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
586,Tabuk,PH,83.35,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
588,Kendari,ID,87.31,broken clouds,-3.945,122.4989,Hotel Wixel
589,Naya Bazar,IN,82.6,clear sky,27.1333,88.2667,"Club Mahindra Resort - Baiguney, Sikkim"
591,Liwale,TZ,71.11,broken clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
592,Hervey Bay,AU,74.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
595,Guangyuan,CN,72.95,scattered clouds,32.442,105.823,Guangyuan Poetry Hotel
596,La Palma,US,71.1,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
597,Port Shepstone,ZA,72.12,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
600,Bandarbeyla,SO,79.83,clear sky,9.4942,50.8122,JABIR HOTEL
601,Maunabo,PR,76.89,scattered clouds,18.0072,-65.8993,Parador Maunacaribe
604,Kampong Cham,KH,85.14,overcast clouds,11.9934,105.4635,7 Makara Hotel
606,Baculin,PH,84.24,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
607,Santo Antonio Do Ica,BR,72.19,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
610,Mecca,SA,83.01,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
615,Ugoofaaru,MV,81.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
616,Sawai Madhopur,IN,78.76,clear sky,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
617,Araouane,ML,82.4,clear sky,18.9048,-3.5265,
618,Samarai,PG,84.76,scattered clouds,-10.6167,150.6667,Nuli Sapi
621,Sinnar,SD,77.38,overcast clouds,13.5691,33.5672,بساتين سالمة
624,Davila,PH,82.67,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
627,Tanete,ID,89.37,broken clouds,-3.9443,119.7848,Wisma Tri Multi
630,Goundam,ML,85.57,scattered clouds,16.4145,-3.6708,
631,Hitoyoshi,JP,70.65,clear sky,32.2167,130.75,Ryokan Ayu-no-Sato
634,Alyangula,AU,86.52,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
636,Diamantino,BR,76.84,overcast clouds,-14.4086,-56.4461,Hotel Delta
638,Baturaja,ID,87.21,light rain,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
639,Puerto El Triunfo,SV,77.31,overcast clouds,13.2833,-88.55,Hotel Jardin
640,Harper,LR,75.36,moderate rain,4.375,-7.7169,Screensaver
641,Kulhudhuffushi,MV,80.65,overcast clouds,6.6221,73.07,Haajy Guest House 1
647,Blythe,US,76.39,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
652,Atar,MR,86.94,broken clouds,20.5169,-13.0499,Oumou Elghoura
654,Bonthe,SL,76.39,broken clouds,7.5264,-12.505,Bonthe Holiday Village
